action,request_path,request_encoding,play_stage,client_evidence,request_fields,response_fields,cmn_effect,static_config_dependencies,persistence_entities,implementation_status,handling_class,test_fixture,device_validation,risk,next_step
atlas.getList,/index.php?do=atlas.getList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:108"",""docs/ref/atlas.md#atlasgetList"",""Scene/Achievement/AchievementScene.js:34 (requestService)""]","[""initWithData""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
atlas.getSurrenderList,/index.php?do=atlas.getSurrenderList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:109"",""docs/ref/atlas.md#atlasgetSurrenderList"",""Views/Dialog/AgaSurrenderDialog.js:207 (refreshViewWithModelGeneral)"",""Views/Dialog/DetailDialogGeneral.js:458 (setDisplayType)"",""Views/Dialog/DetailDialogGeneral.js:469 (setDisplayType)"",""Views/Dialog/DetailDialogGeneral.js:490 (setDisplayType)"",""Views/Dialog/DetailDialogGeneral.js:505 (setDisplayType)""]","[""general_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,"[""sgs_generals""]",not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
battle.mnq,(内联拼接，不含固定前缀),GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""Cfg/Url.js:19"",""docs/ref/battle.md#battlemnq""]",[],[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,UNKNOWN,missing,NOT DEVICE VERIFIED,No static call site or server behavior; reachability is not established.,Trace inline/dynamic URL and original client path before classifying or implementing.
beauty.addBeautyExperience,/?do=beauty.addBeautyExperience,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:258"",""docs/ref/beauty.md#beautyaddBeautyExperience"",""Scene/Beauty/BeautyScene.js:1086 (requestBeautyAddExp)""]","[""item_num"",""user_item_id""]","[""add_list.addExperience"",""add_list.attack"",""add_list.curMaxLevle"",""add_list.defense"",""add_list.hp"",""add_list.isUplevel"",""add_list.talentLevel"",""add_list.wisdom"",""error_code"",""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
beauty.beautyCruise,/?do=beauty.beautyCruise,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:256"",""docs/ref/beauty.md#beautybeautyCruise"",""Scene/Beauty/BeautyScene.js:866 (requestBeautySatrt)""]","[""beauty_id"",""talent_level""]","[""beauty_info.end_time"",""error_code"",""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
beauty.beautyCruiseOver,/?do=beauty.beautyCruiseOver,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:257"",""docs/ref/beauty.md#beautybeautyCruiseOver"",""Scene/Beauty/BeautyScene.js:985 (requestBeautyEnd)"",""Scene/Beauty/BeautyScene.js:1013 (rightCB)""]","[""Constant_Beauty_Over_Normal"",""type""]","[""beauty_cruise_info"",""error_code"",""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
beauty.beautyExchange,/?do=beauty.beautyExchange,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:260"",""docs/ref/beauty.md#beautybeautyExchange"",""Views/Dialog/BeautyShopDialog.js:393 (rightCB)""]","[""pk_id"",""user_id""]","[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
beauty.getBeautyExchangeList,/?do=beauty.getBeautyExchangeList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:259"",""docs/ref/beauty.md#beautygetBeautyExchangeList"",""Views/Dialog/BeautyShopDialog.js:443 (showWithSurrenderInfo)""]",[],"[""result""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
beauty.init,/?do=beauty.init,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:255"",""docs/ref/beauty.md#beautyinit"",""Tools/Scene.js:248 (gotoBeautyScene)""]",[],[],cmn models: mBeautyData.loadJson,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
buddy.activatePosition,?do=buddy.activatePosition,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:152"",""docs/ref/buddy.md#buddyactivatePosition"",""Scene/Buddy/BuddyView.js:343 (requestActivateBuddyPosition)""]","[""position"",""user_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
buddy.setBuddy,?do=buddy.setBuddy,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:153"",""docs/ref/buddy.md#buddysetBuddy"",""Scene/Buddy/BuddyView.js:378 (requestSetBuddy)""]","[""position"",""user_general_id"",""user_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
chat.getMessage,/index.php?do=chat.getMessage,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:133"",""docs/ref/chat.md#chatgetMessage"",""Models/ChatMessageManager.js:49 (requestNewMsgFromServer)""]","[""limit"",""token"",""user_id""]","[""chat_msg""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
chat.send,/index.php?do=chat.send,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),9 社交与竞赛,"[""ReconstructedJS/src_jsc/Cfg/Url.js:134"",""docs/ref/chat.md#chatsend"",""Views/ChatContentLayer.js:204 (init)""]","[""channel"",""message"",""send_to"",""user_id""]","[""chat_msg""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
combat.getUserCombatList,/index.php?do=combat.getUserCombatList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:63"",""docs/ref/combat.md#combatgetUserCombatList""]",[],[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,UNKNOWN,missing,NOT DEVICE VERIFIED,No static call site or server behavior; reachability is not established.,Trace inline/dynamic URL and original client path before classifying or implementing.
combat.upgradeCombatLevel,/index.php?do=combat.upgradeCombatLevel,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),7 常规成长,"[""ReconstructedJS/src_jsc/Cfg/Url.js:66"",""docs/ref/combat.md#combatupgradeCombatLevel"",""Scene/Combat/CombatUpgradeScene.js:426 (confirmUpgrade)""]","[""combat_id"",""forcepush"",""gids"",""num"",""sids""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
dungeon.fight,/?do=dungeon.fight,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),4-5 地图与副本,"[""ReconstructedJS/src_jsc/Cfg/Url.js:33"",""docs/ref/dungeon.md#dungeonfight"",""Views/Dialog/DungeonDetail.js:321 (rightCB)"",""Views/Dialog/DungeonDetailB.js:213 (singleFight)""]","[""check_troop"",""dungeon_id"",""forcepush"",""ignoreRandEvent""]","[""map_info""]","cmn models: xs.Models.FightInfo.create, GameData.Map.update","[""sgs_map_conf (empty in shipped package; local map data required)""]","player_dungeons, player_items, player_equipment, player_counters, tutorial_progress, request_dedup",IMPLEMENTED_LOCAL_SLICE,GAMEPLAY_REQUIRED,HTTP integration test,NOT DEVICE VERIFIED,"Current handler covers only the local reconstruction slice; verify full response, rules, costs, and restart behavior.","Extend behavior from client evidence; add success, legal refusal, retry, persistence, and device checks."
dungeon.fightBefore,/?do=dungeon.fightBefore,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),4-5 地图与副本,"[""ReconstructedJS/src_jsc/Cfg/Url.js:32"",""docs/ref/dungeon.md#dungeonfightBefore""]",[],[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,UNKNOWN,missing,NOT DEVICE VERIFIED,No static call site or server behavior; reachability is not established.,Trace inline/dynamic URL and original client path before classifying or implementing.
dungeon.multiKill,/?do=dungeon.multiKill,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),4-5 地图与副本,"[""ReconstructedJS/src_jsc/Cfg/Url.js:37"",""docs/ref/dungeon.md#dungeonmultiKill"",""Views/Dialog/DungeonDetail.js:153 (rightCB)"",""Views/Dialog/DungeonDetail.js:399 (rightCB)"",""Views/Dialog/DungeonDetailB.js:132 (init)"",""Views/Dialog/DungeonDetailB.js:306 (rightCB)""]","[""clear_cd"",""dungeon_id"",""forcepush"",""ignoreRandEvent""]","[""map_info""]","cmn models: xs.Models.MulitiFightInfo.create, GameData.Map.update","[""sgs_map_conf (empty in shipped package; local map data required)""]",not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
dungeon.multiKillSpecial,?do=dungeon.multiKillSpecial,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),4-5 地图与副本,"[""ReconstructedJS/src_jsc/Cfg/Url.js:40"",""docs/ref/dungeon.md#dungeonmultiKillSpecial"",""Views/Dialog/AutoMultiKillSelectDialog.js:499 (onClick)""]","[""dungeon_id"",""eat_baoZi"",""fight_num"",""ignoreRandEvent"",""user_id""]","[""map_info""]","cmn models: xs.Models.MulitiFightInfo.create, GameData.Map.update","[""sgs_map_conf (empty in shipped package; local map data required)""]",not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
dungeon.multiKillSpecialInfo,?do=dungeon.multiKillSpecialInfo,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),4-5 地图与副本,"[""ReconstructedJS/src_jsc/Cfg/Url.js:39"",""docs/ref/dungeon.md#dungeonmultiKillSpecialInfo"",""Views/Dialog/AutoMultiKillSelectDialog.js:199 (requestBaoZiPriceData)""]","[""user_id""]","[""return_info"",""return_info.ordinary_price"",""return_info.power_price""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
dungeon.openBox,?do=dungeon.openBox,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),4-5 地图与副本,"[""ReconstructedJS/src_jsc/Cfg/Url.js:38"",""docs/ref/dungeon.md#dungeonopenBox"",""Views/Dialog/Dialog.js:481 (centerBtnCallback)""]","[""box_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
email.accept,/index.php?do=email.accept,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:107"",""docs/ref/email.md#emailaccept"",""Views/Table/Cell/MailTableViewCell.js:142 (updateCcbForGift)"",""Scene/Mail/MailView.js:54 (onBtnClick)""]","[""email_id"",""email_push"",""forcepush""]","[""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
email.getList,/index.php?do=email.getList,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:104"",""docs/ref/email.md#emailgetList"",""Models/Mail.js:91 (queryMailList)"",""Scene/Mail/MailSystemScene.js:77 (updateData)""]","[""email_push"",""forcepush""]","[""email_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
email.send,/index.php?do=email.send,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:113"",""docs/ref/email.md#emailsend"",""Views/Dialog/SendMessageDialog.js:121 (onSendBtnClick)""]","[""content"",""send_to"",""send_type"",""title""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
equipment.equipmentCompose,/index.php?do=equipment.equipmentCompose,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:45"",""docs/ref/equipment.md#equipmentequipmentCompose"",""Views/Table/Cell/EquipmentFragmentJoinTableViewCell.js:76 (_join)""]","[""equipment_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,"[""sgs_equipments""]",not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
equipment.equipmentPieceSell,/index.php?do=equipment.equipmentPieceSell,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),6 背包与装备,"[""ReconstructedJS/src_jsc/Cfg/Url.js:44"",""docs/ref/equipment.md#equipmentequipmentPieceSell"",""Views/Table/Cell/EquipmentFragmentTableViewCell.js:86 (_sell)""]","[""equipment_id""]",[],No model hop extracted; inspect ref page and cmn consumers.,"[""sgs_equipments""]",not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
